date,num_tweets,fda,rogan,pos_senti_percent,neutral_senti_percent,neg_senti_percent
08-01-2021,509,0,2,23,66,11
08-02-2021,219,3,0,21,70,9
08-03-2021,809,12,0,34,58,8
08-04-2021,786,4,1,18,71,11
08-05-2021,509,12,2,15,64,21
08-06-2021,489,4,3,28,56,16
08-07-2021,167,0,4,18,75,7
08-08-2021,987,3,5,16,80,4
08-09-2021,1203,23,16,20,68,12
08-10-2021,498,4,2,12,79,9
08-11-2021,187,0,4,14,77,9
08-12-2021,1012,17,0,15,68,17
08-13-2021,981,15,32,23,59,18
08-14-2021,1111,23,4,11,73,16
08-15-2021,601,2,5,12,74,14
08-16-2021,275,0,12,32,46,22
08-17-2021,398,0,9,39,51,10
08-18-2021,489,7,0,23,45,32
08-19-2021,874,32,6,14,67,19
08-20-2021,1423,45,12,16,57,27
08-21-2021,6894,1368,45,28,57,15
08-22-2021,5873,1671,12,19,68,13
08-23-2021,4098,678,29,14,57,29
08-24-2021,5873,564,23,19,49,32
08-25-2021,5476,789,89,11,48,41
08-26-2021,3998,455,12,13,58,29
08-27-2021,5878,452,33,32,44,24
08-28-2021,7264,326,18,24,62,14
08-29-2021,6785,71,22,19,65,16
08-30-2021,4298,59,12,20,59,21
08-31-2021,4355,121,33,16,62,22
09-01-2021,5980,187,1221,33,56,11
09-02-2021,6178,322,1409,41,41,18
09-03-2021,4536,46,898,27,62,11
09-04-2021,4618,78,200,22,63,15
09-05-2021,3876,45,78,27,50,23
09-06-2021,4987,32,159,18,61,21
09-07-2021,2019,109,332,14,72,14
09-08-2021,1012,20,45,22,63,15
09-09-2021,3049,312,18,12,71,17
09-10-2021,1293,44,22,16,72,12
09-11-2021,789,9,14,32,46,22
09-12-2021,478,18,24,22,46,32
09-13-2021,1409,32,35,23,62,15
09-14-2021,3761,8,24,18,66,16
09-15-2021,756,22,40,13,68,19
09-16-2021,389,26,29,22,55,23
09-17-2021,329,18,31,12,45,43
09-18-2021,585,9,20,16,72,12
09-19-2021,233,4,9,43,44,13
09-20-2021,678,7,6,18,67,15
09-21-2021,444,13,7,16,68,16
09-22-2021,987,14,30,11,67,22
09-23-2021,879,31,18,32,43,25
09-24-2021,676,23,16,21,53,26
09-25-2021,775,15,21,25,64,11
09-26-2021,389,18,4,31,48,21
09-27-2021,298,23,8,27,51,22
09-28-2021,397,9,30,48,43,9
09-29-2021,1012,26,55,43,26,31
09-30-2021,1127,41,67,19,69,12
Standard Deviation,2191.654272,309.4256172,259.3900654,8.887241423,11.24146306,8.070150086
Sum,128258,8321,5317,1343,3647,1110